ENTITY_NAME*|*ENTITY_NUM*|*INITIAL_FILING_DATE*|*JURISDICTION*|*ENTITY_STATUS*|*STANDING_SOS*|*ENTITY_TYPE*|*FILING_TYPE*|*FOREIGN_NAME*|*STANDING_FTB*|*STANDING_VCFCF*|*STANDING_AGENT*|*SUSPENSION_DATE*|*LAST_SI_FILE_NUMBER*|*LAST_SI_FILE_DATE*|*PRINCIPAL_ADDRESS*|*PRINCIPAL_ADDRESS2*|*PRINCIPAL_CITY*|*PRINCIPAL_STATE*|*PRINCIPAL_COUNTRY*|*PRINCIPAL_POSTAL_CODE*|*MAILING_ADDRESS*|*MAILING_ADDRESS2*|*MAILING_ADDRESS3*|*MAILING_CITY*|*MAILING_STATE*|*MAILING_COUNTRY*|*MAILING_POSTAL_CODE*|*PRINCIPAL_ADDRESS_IN_CA*|*PRINCIPAL_ADDRESS2_IN_CA*|*PRINCIPAL_CITY_IN_CA*|*PRINCIPAL_STATE_IN_CA*|*PRINCIPAL_COUNTRY_IN_CA*|*PRINCIPAL_POSTAL_CODE_IN_CA*|*LLC_MANAGEMENT_STRUCTURE*|*TYPE_OF_BUSINESS
Deusa LLC*|*5368506*|*07/15/2025*|*CALIFORNIA*|*Active*|*Good*|*Name Reservation*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|**|**|**|**|**|**|**|**|**|**|**|**|**|**|**|**|**|**|**|**|*
Who Turned Off The Lights? LLC*|*202565516820*|*07/15/2025*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*4464 LONE TREE WAY*|*UNIT #3072*|*ANTIOCH*|*CA*|*United States*|*94531*|*PO BOX 1791*|**|**|*SAN LEANDRO*|*CA*|*United States*|*94577*|**|**|**|**|**|**|*One Manager*|*
Alhamdani castle LLC*|*B20250092698*|*07/15/2025*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*6526-6528 EL CAJON BLVD*|**|*SAN DIEGO*|*CA*|*United States*|*92115*|*3010 SPEARMAN LN*|**|**|*SPRING VALLEY*|*CA*|*United States*|*91978*|**|**|**|**|**|**|*All LLC Member(s)*|*
Behemoth Magazine*|*B20250145472*|*07/16/2025*|*CALIFORNIA*|*Active*|*Good*|*Nonprofit Corporation - CA - Public Benefit*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*2108 N ST STE C*|*C*|*SACRAMENTO*|*CA*|*United States*|*95816*|*2108 N ST STE C*|*C*|**|*SACRAMENTO*|*CA*|*United States*|*95816*|**|**|**|**|**|**|**|*
CHATAETAE WHOLESALE INC*|*B20250124189*|*07/14/2025*|*CALIFORNIA*|*Active*|*Good*|*Stock Corporation - CA - General*|*Domestic*|**|*Good*|*Good*|*Good*|**|*BA20251484077*|*Jul 17 2025 11:12AM*|*3833 DUNN DR*|*APT204*|*CULVER CITY*|*CA*|*United States*|*90232*|*3833 DUNN DR*|*APT204*|**|*CULVER CITY*|*CA*|*United States*|*90232*|*3833 DUNN DR*|*APT204*|*CULVER CITY*|*CA*|*United States*|*90232*|**|*WOMENS CASUAL BAG WHOLESALE
GENIE MAINTENANCE INC*|*B20250133376*|*07/15/2025*|*CALIFORNIA*|*Active*|*Good*|*Stock Corporation - CA - General*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*9852 W KATELLA AVE*|*STE 455*|*ANAHEIM*|*CA*|*United States*|*92804*|*9852 W KATELLA AVE*|*STE 455*|**|*ANAHEIM*|*CA*|*United States*|*92804*|**|**|**|**|**|**|**|*
Gurdwara Sri Guru Harkrishan Sahib Ji*|*B20250125575*|*07/19/2025*|*CALIFORNIA*|*Active*|*Good*|*Nonprofit Corporation - CA - Religious*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*1463 MOFFAT BLVD STE 9*|**|*MANTECA*|*CA*|*United States*|*95336*|*1463 MOFFAT BLVD STE 9*|**|**|*MANTECA*|*CA*|*United States*|*95336*|**|**|**|**|**|**|**|*
HIEU NGUYEN LLC*|*B20250080290*|*07/16/2025*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|*BA20251477914*|*Jul 16 2025 11:36AM*|*10051 OSGOOD WAY*|**|*SAN DIEGO*|*CA*|*United States*|*92126*|*10051 OSGOOD WAY*|**|**|*SAN DIEGO*|*CA*|*United States*|*92126*|*10051 OSGOOD WAY*|**|*SAN DIEGO*|*CA*|*United States*|*92126*|*One Manager*|*TAX PREPARER
Naimswell Foundation*|*B20250123336*|*07/14/2025*|*CALIFORNIA*|*Active*|*Good*|*Nonprofit Corporation - CA - Public Benefit*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*602 CHESTERFIELD CIRCLE*|**|*SAN MARCOS*|*CA*|*United States*|*92069*|*602 CHESTERFIELD CIRCLE*|**|**|*SAN MARCOS*|*CA*|*United States*|*92069*|**|**|**|**|**|**|**|*
SerendipityC E-Commerce LLC*|*B20250065990*|*07/15/2025*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*1401 21ST ST, STE R,*|**|*SACRAMENTO*|*CA*|*United States*|*95811*|*1842 S CALIFORNIA ST.*|**|**|*SAN GABRIEL*|*CA*|*United States*|*91776*|**|**|**|**|**|**|*One Manager*|*
