ENTITY_NAME*|*ENTITY_NUM*|*INITIAL_FILING_DATE*|*JURISDICTION*|*ENTITY_STATUS*|*STANDING_SOS*|*ENTITY_TYPE*|*FILING_TYPE*|*FOREIGN_NAME*|*STANDING_FTB*|*STANDING_VCFCF*|*STANDING_AGENT*|*SUSPENSION_DATE*|*LAST_SI_FILE_NUMBER*|*LAST_SI_FILE_DATE*|*PRINCIPAL_ADDRESS*|*PRINCIPAL_ADDRESS2*|*PRINCIPAL_CITY*|*PRINCIPAL_STATE*|*PRINCIPAL_COUNTRY*|*PRINCIPAL_POSTAL_CODE*|*MAILING_ADDRESS*|*MAILING_ADDRESS2*|*MAILING_ADDRESS3*|*MAILING_CITY*|*MAILING_STATE*|*MAILING_COUNTRY*|*MAILING_POSTAL_CODE*|*PRINCIPAL_ADDRESS_IN_CA*|*PRINCIPAL_ADDRESS2_IN_CA*|*PRINCIPAL_CITY_IN_CA*|*PRINCIPAL_STATE_IN_CA*|*PRINCIPAL_COUNTRY_IN_CA*|*PRINCIPAL_POSTAL_CODE_IN_CA*|*LLC_MANAGEMENT_STRUCTURE*|*TYPE_OF_BUSINESS
Level werks llc*|*202252615154*|*07/22/2025*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*13313 OXNARD ST*|*#232*|*VALLEY GLEN*|*CA*|*United States*|*91401*|*13313 OXNARD ST*|*#232*|**|*VALLEY GLEN*|*CA*|*United States*|*91401*|**|**|**|**|**|**|*One Manager*|*
Doctor Nomad LLC*|*202463610479*|*07/24/2025*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*4925 TERRY DR*|**|*VENTURA*|*CA*|*United States*|*93003*|*4925 TERRY DR*|**|**|*VENTURA*|*CA*|*United States*|*93003*|**|**|**|**|**|**|*One Manager*|*
Mora Cattle Company, LLC*|*B20250014308*|*07/22/2025*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*77425 INDIAN VALLEY ROAD*|**|*SAN MIGUEL*|*CA*|*United States*|*93451*|*77425 INDIAN VALLEY ROAD*|**|**|*SAN MIGUEL*|*CA*|*United States*|*93451*|**|**|**|**|**|**|*All LLC Member(s)*|*
XES CORPORATION*|*B20250033898*|*07/23/2025*|*CALIFORNIA*|*Active*|*Good*|*Stock Corporation - CA - Close*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*21800 OXNARD ST*|*460*|*WOODLAND HILLS*|*CA*|*United States*|*91367*|*21800 OXNARD ST*|*460*|**|*WOODLAND HILLS*|*CA*|*United States*|*91367*|**|**|**|**|**|**|**|*
ALVZ Investments LLC*|*B20250094538*|*07/25/2025*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*3004 PARAGON WY*|**|*CARMICHAEL*|*CA*|*United States*|*95608*|*3004 PARAGON WY*|**|**|*CARMICHAEL*|*CA*|*United States*|*95608*|**|**|**|**|**|**|*All LLC Member(s)*|*
Barkery Delights, LLC*|*B20250126994*|*07/25/2025*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*2422 CAMINO DE LAS PALMAS*|**|*LEMON GROVE*|*CA*|*United States*|*91945*|*8030 LA MESA BLVD.*|*#300*|**|*LA MESA*|*CA*|*United States*|*91942*|**|**|**|**|**|**|*All LLC Member(s)*|*
Elite Strategic Innovations LLC*|*B20250133624*|*07/25/2025*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*3241 N MENDONCA ST*|**|*VISALIA*|*CA*|*United States*|*93291*|*3241 N MENDONCA ST*|**|**|*VISALIA*|*CA*|*United States*|*93291*|**|**|**|**|**|**|*One Manager*|*
PRECISION CYLINDER INC*|*B20250150464*|*07/23/2025*|*CALIFORNIA*|*Active*|*Good*|*Stock Corporation - CA - General*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*22600-G LAMBERT ST*|*UNIT 1401*|*LAKE FOREST*|*CA*|*United States*|*92630*|*22600-G LAMBERT ST*|*UNIT 1401*|**|*LAKE FOREST*|*CA*|*United States*|*92630*|**|**|**|**|**|**|**|*
Sandy Point 3 LLC*|*B20250090676*|*07/25/2025*|*CALIFORNIA*|*Active*|*Good*|*Name Reservation*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|**|**|**|**|**|**|**|**|**|**|**|**|**|**|**|**|**|**|**|**|*
TEQUILA LAS FELIX LLC*|*B20250147655*|*07/28/2025*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*13967 HWY 94 CAMPO RD*|*ST 201*|*JAMUL*|*CA*|*United States*|*91935*|*13967 HWY 94 CAMPO RD*|*ST 201*|**|*JAMUL*|*CA*|*United States*|*91935*|**|**|**|**|**|**|*All LLC Member(s)*|*
