ENTITY_NAME*|*ENTITY_NUM*|*INITIAL_FILING_DATE*|*JURISDICTION*|*ENTITY_STATUS*|*STANDING_SOS*|*ENTITY_TYPE*|*FILING_TYPE*|*FOREIGN_NAME*|*STANDING_FTB*|*STANDING_VCFCF*|*STANDING_AGENT*|*SUSPENSION_DATE*|*LAST_SI_FILE_NUMBER*|*LAST_SI_FILE_DATE*|*PRINCIPAL_ADDRESS*|*PRINCIPAL_ADDRESS2*|*PRINCIPAL_CITY*|*PRINCIPAL_STATE*|*PRINCIPAL_COUNTRY*|*PRINCIPAL_POSTAL_CODE*|*MAILING_ADDRESS*|*MAILING_ADDRESS2*|*MAILING_ADDRESS3*|*MAILING_CITY*|*MAILING_STATE*|*MAILING_COUNTRY*|*MAILING_POSTAL_CODE*|*PRINCIPAL_ADDRESS_IN_CA*|*PRINCIPAL_ADDRESS2_IN_CA*|*PRINCIPAL_CITY_IN_CA*|*PRINCIPAL_STATE_IN_CA*|*PRINCIPAL_COUNTRY_IN_CA*|*PRINCIPAL_POSTAL_CODE_IN_CA*|*LLC_MANAGEMENT_STRUCTURE*|*TYPE_OF_BUSINESS
A4 Investigations, LLC*|*B20250144839*|*07/07/2025*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*3408 HACIENDA DRIVE*|**|*OCEANSIDE*|*CA*|*United States*|*92054*|*3408 HACIENDA DRIVE*|**|**|*OCEANSIDE*|*CA*|*United States*|*92054*|**|**|**|**|**|**|*One Manager*|*
Agave B. LLC*|*B20250151388*|*07/07/2025*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*241 VERSAILLES PL*|**|*RIVERSIDE*|*CA*|*United States*|*92501*|*1132 S. GARFIELD AVENUE*|**|**|*ALHAMBRA*|*CA*|*United States*|*91801*|**|**|**|**|**|**|*All LLC Member(s)*|*
Architectural Imperium Wealth, LLC*|*B20250145153*|*07/07/2025*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*1096 AMBERTON LN*|**|*NEWBURY PARK*|*CA*|*United States*|*91320*|*P.O. BOX 19121*|**|*ARCHITECTURAL IMPERIUM WEALTH, LLC*|*NEWBURY PARK*|*CA*|*United States*|*91319*|**|**|**|**|**|**|*One Manager*|*
Chasing Sunsets in Baja LLC*|*B20250139404*|*07/08/2025*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|*BA20251436769*|*Jul  9 2025 10:22AM*|*6403 REFLECTION DRIVE*|*APT 201*|*SAN DIEGO*|*CA*|*United States*|*92124*|*6403 REFLECTION DRIVE*|*APT 201*|**|*SAN DIEGO*|*CA*|*United States*|*92124*|**|**|**|**|**|**|*One Manager*|*tours
Deadwood Games LLC*|*B20250086634*|*07/09/2025*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*2061 OLGA ST*|**|*OXNARD*|*CA*|*United States*|*93036*|*2061 OLGA ST*|**|**|*OXNARD*|*CA*|*United States*|*93036*|**|**|**|**|**|**|*One Manager*|*
Heavens Warriors Foundation*|*B20250136990*|*07/07/2025*|*CALIFORNIA*|*Active*|*Good*|*Nonprofit Corporation - CA - Public Benefit*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*4507 CIMARRON RIDGE DR.*|**|*BAKERSFIELD*|*CA*|*United States*|*93313*|*4507 CIMARRON RIDGE DR.*|**|**|*BAKERSFIELD*|*CA*|*United States*|*93313*|**|**|**|**|**|**|**|*
HOON BLACKBIRD MOVING INC*|*B20250121929*|*07/10/2025*|*CALIFORNIA*|*Active*|*Good*|*Stock Corporation - CA - General*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*10601 WASHINGTON BLVD*|*APT707*|*CULVER CITY*|*CA*|*United States*|*90232*|*10601 WASHINGTON BLVD*|*APT707*|**|*CULVER CITY*|*CA*|*United States*|*90232*|**|**|**|**|**|**|**|*
LA CASA DEL ABUELO UNIENDO FAMILIAS A TRAVES DE LAS FRONTERAS*|*B20250091110*|*07/07/2025*|*CALIFORNIA*|*Active*|*Good*|*Nonprofit Corporation - CA - Public Benefit*|*Domestic*|**|*Good*|*Good*|*Good*|**|*BA20251454745*|*Jul 11 2025  3:45PM*|*1910 EAST CALIFORNIA AVE*|*SUITE O*|*BAKERSFIELD*|*CA*|*United States*|*93307*|*1910 EAST CALIFORNIA AVE*|*SUITE O*|**|*BAKERSFIELD*|*CA*|*United States*|*93307*|**|**|**|**|**|**|**|*
Little Village Learning Center LLC*|*B20250105883*|*07/07/2025*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*2108 N STREET*|*#8285*|*SACRAMENTO*|*CA*|*United States*|*95816*|*2108 N STREET*|*#8285*|**|*SACRAMENTO*|*CA*|*United States*|*95816*|**|**|**|**|**|**|*One Manager*|*
MAJHAIL06 TRUCKING INC*|*B20250108503*|*07/07/2025*|*CALIFORNIA*|*Active*|*Good*|*Stock Corporation - CA - General*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*2494 GROVE WAY APT 31*|**|*CASTRO VALLEY*|*CA*|*United States*|*94546*|*2494 GROVE WAY APT 31*|**|**|*CASTRO VALLEY*|*CA*|*United States*|*94546*|**|**|**|**|**|**|**|*
Naimswell Foundation*|*B20250123336*|*07/14/2025*|*CALIFORNIA*|*Active*|*Good*|*Nonprofit Corporation - CA - Public Benefit*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*602 CHESTERFIELD CIRCLE*|**|*SAN MARCOS*|*CA*|*United States*|*92069*|*602 CHESTERFIELD CIRCLE*|**|**|*SAN MARCOS*|*CA*|*United States*|*92069*|**|**|**|**|**|**|**|*
Sacred Bliss LLC*|*B20250079033*|*07/11/2025*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*208 KATHERINE AVE*|**|*SALINAS*|*CA*|*United States*|*93901*|*208 KATHERINE AVE*|**|**|*SALINAS*|*CA*|*United States*|*93901*|**|**|**|**|**|**|*One Manager*|*
The Bee Slayed Collection LLC*|*B20250139648*|*07/08/2025*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*1005 PESCADERO AVE*|*155 STUDIO 107*|*TRACY*|*CA*|*United States*|*95304*|*75 E GRANT LINE RD*|*F*|**|*TRACY*|*CA*|*United States*|*95376*|**|**|**|**|**|**|*One Manager*|*
