ENTITY_NAME*|*ENTITY_NUM*|*INITIAL_FILING_DATE*|*JURISDICTION*|*ENTITY_STATUS*|*STANDING_SOS*|*ENTITY_TYPE*|*FILING_TYPE*|*FOREIGN_NAME*|*STANDING_FTB*|*STANDING_VCFCF*|*STANDING_AGENT*|*SUSPENSION_DATE*|*LAST_SI_FILE_NUMBER*|*LAST_SI_FILE_DATE*|*PRINCIPAL_ADDRESS*|*PRINCIPAL_ADDRESS2*|*PRINCIPAL_CITY*|*PRINCIPAL_STATE*|*PRINCIPAL_COUNTRY*|*PRINCIPAL_POSTAL_CODE*|*MAILING_ADDRESS*|*MAILING_ADDRESS2*|*MAILING_ADDRESS3*|*MAILING_CITY*|*MAILING_STATE*|*MAILING_COUNTRY*|*MAILING_POSTAL_CODE*|*PRINCIPAL_ADDRESS_IN_CA*|*PRINCIPAL_ADDRESS2_IN_CA*|*PRINCIPAL_CITY_IN_CA*|*PRINCIPAL_STATE_IN_CA*|*PRINCIPAL_COUNTRY_IN_CA*|*PRINCIPAL_POSTAL_CODE_IN_CA*|*LLC_MANAGEMENT_STRUCTURE*|*TYPE_OF_BUSINESS
DHD CONSULTANTS LLC*|*202360212208*|*06/04/2025*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*730 E PACIFIC COAST HWY*|*108*|*LONG BEACH*|*CA*|*United States*|*90806*|*730 E PACIFIC COAST HWY*|*108*|**|*LONG BEACH*|*CA*|*United States*|*90806*|**|**|**|**|**|**|*One Manager*|*
AUTOMOTIVE INTEGRATIONS GROUP LLC*|*202464014524*|*06/04/2025*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*10243 TOPANGA CANYON BLVD*|*409*|*CHATSWORTH*|*CA*|*United States*|*91311*|*10243 TOPANGA CANYON BLVD*|*409*|**|*CHATSWORTH*|*CA*|*United States*|*91311*|**|**|**|**|**|**|*One Manager*|*
Saved Haus LLC*|*202463517994*|*06/04/2025*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*23436 KINGSTON PL*|**|*VALENCIA*|*CA*|*United States*|*91354*|*23436 KINGSTON PL*|**|**|*VALENCIA*|*CA*|*United States*|*91354*|**|**|**|**|**|**|*One Manager*|*
Bellegrave Estates LLC*|*B20250014333*|*06/03/2025*|*CALIFORNIA*|*Active*|*Good*|*Name Reservation*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|**|**|**|**|**|**|**|**|**|**|**|**|**|**|**|**|**|**|**|**|*
Building Bloch's ADP*|*B20250027530*|*06/02/2025*|*CALIFORNIA*|*Active*|*Good*|*Stock Corporation - CA - General*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*2829 MIDDLEFIELD AVE*|**|*FREMONT*|*CA*|*United States*|*94539*|*2829 MIDDLEFIELD AVE*|**|**|*FREMONT*|*CA*|*United States*|*94539*|**|**|**|**|**|**|**|*
Casalicious LLC*|*B20250025258*|*06/06/2025*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|*BA20251242068*|*Jun  6 2025  8:33AM*|*1185 CRESTON LN*|**|*SAN JOSE*|*CA*|*United States*|*95122*|*1185 CRESTON LN*|**|**|*SAN JOSE*|*CA*|*United States*|*95122*|**|**|**|**|**|**|*One Manager*|*Home baked treats
Magical Experience HVAC Services LLC*|*B20250018495*|*06/06/2025*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*15865 FREMONT ST*|**|*ADELANTO*|*CA*|*United States*|*92301*|*15865 FREMONT ST*|**|**|*ADELANTO*|*CA*|*United States*|*92301*|**|**|**|**|**|**|*One Manager*|*
Ryer Island 146 LLC*|*B20250013659*|*06/02/2025*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*1534 DECATUR WAY*|**|*ROCKLIN*|*CA*|*United States*|*95765*|*1534 DECATUR WAY*|**|**|*ROCKLIN*|*CA*|*United States*|*95765*|**|**|**|**|**|**|*More Than One Manager*|*
.Kranzer Legacy Farms LLC*|*B20250147022*|*06/02/2025*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|*BA20251214322*|*Jun  2 2025  4:10PM*|*16267 WIND FOREST WAY*|**|*CHINO HILLS*|*CA*|*United States*|*91709*|*16267 WIND FOREST WAY*|**|**|*CHINO HILLS*|*CA*|*United States*|*91709*|*16267 WIND FOREST WAY*|**|*CHINO HILLS*|*CA*|*United States*|*91709*|*One Manager*|*Land farm
1014 Broadway LLC*|*B20250149709*|*06/04/2025*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*1014 BROADWAY*|**|*SANTA MONICA*|*CA*|*United States*|*90401*|*1014 BROADWAY*|**|**|*SANTA MONICA*|*CA*|*United States*|*90401*|**|**|**|**|**|**|*All LLC Member(s)*|*
1015ChestnutC3 LLC*|*B20250150814*|*06/04/2025*|*WYOMING*|*Active*|*Good*|*Limited Liability Company - Out of State*|*Foreign*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*2108 N ST*|*STE N*|*SACRAMENTO*|*CA*|*United States*|*95816*|*2108 N ST*|*STE N*|**|*SACRAMENTO*|*CA*|*United States*|*95816*|**|**|**|**|**|**|**|*
102 Mira LLC*|*B20250148598*|*06/04/2025*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|*BA20251240043*|*Jun  5 2025  4:29PM*|*2108 N ST*|*STE N*|*SACRAMENTO*|*CA*|*United States*|*95816*|*2108 N ST*|*STE N*|**|*SACRAMENTO*|*CA*|*United States*|*95816*|*2108 N ST*|*STE N*|*SACRAMENTO*|*CA*|*United States*|*95816*|*All LLC Member(s)*|*Real Estate Rental
1025 WHITE ALDER, LLC*|*B20250150740*|*06/04/2025*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|*BA20251237315*|*Jun  5 2025 12:34PM*|*1025 WHITE ALDER AVE*|**|*CHULA VISTA*|*CA*|*United States*|*91914-2609*|*1025 WHITE ALDER AVE*|**|**|*CHULA VISTA*|*CA*|*United States*|*91914-2609*|*1025 WHITE ALDER AVE*|**|*CHULA VISTA*|*CA*|*United States*|*91914-2609*|*All LLC Member(s)*|*REAL ESTATE INVESTMENTS
1048 Via Cielito, LLC*|*B20250147440*|*06/02/2025*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*199 FIGUEROA ST., 3RD FL*|**|*VENTURA*|*CA*|*United States*|*93001*|*P.O. BOX 6471*|**|**|*VENTURA*|*CA*|*United States*|*93006*|**|**|**|**|**|**|*One Manager*|*
10901 Terecita Road LLC*|*B20250150922*|*06/04/2025*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*10901 TERECITA ROAD*|**|*LOS ANGELES*|*CA*|*United States*|*91042*|*10901 TERECITA ROAD*|**|**|*LOS ANGELES*|*CA*|*United States*|*91042*|**|**|**|**|**|**|*One Manager*|*
11074 Oso Ave, LLC*|*B20250148918*|*06/03/2025*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*2601 OCEAN PARK BLVD, STE 208*|**|*LOS ANGELES*|*CA*|*United States*|*90405*|*2601 OCEAN PARK BLVD, STE 208*|**|**|*LOS ANGELES*|*CA*|*United States*|*90405*|**|**|**|**|**|**|*More Than One Manager*|*
1134 N Lima LLC*|*B20250148164*|*06/03/2025*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|*BA20251248272*|*Jun  7 2025 12:03PM*|*1134 NORTH LIMA STREET*|**|*BURBANK*|*CA*|*United States*|*91505*|*1134 NORTH LIMA STREET*|**|**|*BURBANK*|*CA*|*United States*|*91505*|**|**|**|**|**|**|*All LLC Member(s)*|*Real estate investment
1141 Silverado Street LLC*|*B20250151276*|*06/04/2025*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*7725 IVANHOE AVENUE EAST*|**|*SAN DIEGO*|*CA*|*United States*|*92037*|*7725 IVANHOE AVENUE EAST*|**|**|*SAN DIEGO*|*CA*|*United States*|*92037*|**|**|**|**|**|**|*More Than One Manager*|*
