ENTITY_NAME*|*ENTITY_NUM*|*INITIAL_FILING_DATE*|*JURISDICTION*|*ENTITY_STATUS*|*STANDING_SOS*|*ENTITY_TYPE*|*FILING_TYPE*|*FOREIGN_NAME*|*STANDING_FTB*|*STANDING_VCFCF*|*STANDING_AGENT*|*SUSPENSION_DATE*|*LAST_SI_FILE_NUMBER*|*LAST_SI_FILE_DATE*|*PRINCIPAL_ADDRESS*|*PRINCIPAL_ADDRESS2*|*PRINCIPAL_CITY*|*PRINCIPAL_STATE*|*PRINCIPAL_COUNTRY*|*PRINCIPAL_POSTAL_CODE*|*MAILING_ADDRESS*|*MAILING_ADDRESS2*|*MAILING_ADDRESS3*|*MAILING_CITY*|*MAILING_STATE*|*MAILING_COUNTRY*|*MAILING_POSTAL_CODE*|*PRINCIPAL_ADDRESS_IN_CA*|*PRINCIPAL_ADDRESS2_IN_CA*|*PRINCIPAL_CITY_IN_CA*|*PRINCIPAL_STATE_IN_CA*|*PRINCIPAL_COUNTRY_IN_CA*|*PRINCIPAL_POSTAL_CODE_IN_CA*|*LLC_MANAGEMENT_STRUCTURE*|*TYPE_OF_BUSINESS
Elite response security LLC*|*202463511071*|*06/09/2025*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|*BA20251256952*|*Jun  9 2025  4:26PM*|*441*|*HAYES STREET*|*IRVINE*|*CA*|*United States*|*92620*|*441*|*HAYES STREET*|**|*IRVINE*|*CA*|*United States*|*92620*|**|**|**|**|**|**|*One Manager*|*Elite Response Security LLC provides tailored security services through 
GalacticEdge Ventures LLC*|*6553572*|*06/13/2025*|*CALIFORNIA*|*Active*|*Good*|*Name Reservation*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|**|**|**|**|**|**|**|**|**|**|**|**|**|**|**|**|**|**|**|**|*
Cardboard Collectors Guild LLC*|*B20250051694*|*06/09/2025*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*3330 W DOVEWOOD LN*|**|*FRESNO*|*CA*|*United States*|*93711*|*3330 W DOVEWOOD LN*|**|**|*FRESNO*|*CA*|*United States*|*93711*|**|**|**|**|**|**|*One Manager*|*
Chrest to Christ Church*|*B20250049376*|*06/12/2025*|*CALIFORNIA*|*Active*|*Good*|*Nonprofit Corporation - CA - Religious*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*1760 W. 125TH STREET*|*3*|*LOS ANGELES*|*CA*|*United States*|*90047*|*17600 W. 125TH STREET*|*2*|**|*LOS ANGELES*|*CA*|*United States*|*90047*|**|**|**|**|**|**|**|*
223rd MI BN Alumni Association*|*B20250113640*|*06/12/2025*|*CALIFORNIA*|*Active*|*Good*|*Nonprofit Corporation - CA - Public Benefit*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*1051 NATIONAL AVENUE, 338*|*338*|*SAN BRUNO*|*CA*|*United States*|*94066*|*1051 NATIONAL AVENUE, 338*|*338*|**|*SAN BRUNO*|*CA*|*United States*|*94066*|**|**|**|**|**|**|**|*
A to Z Shipping and Courier Services, LLC*|*B20250144388*|*06/10/2025*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*20855 VENTURA BLVD*|*STE 10-A #ATM032*|*WOODLAND HILLS*|*CA*|*United States*|*91364*|*730 RIVER OAK RUN*|**|**|*FORT WAYNE*|*IN*|*United States*|*46804*|**|**|**|**|**|**|*More Than One Manager*|*
A&B Trading, LP*|*B20250125137*|*06/13/2025*|*CALIFORNIA*|*Active*|*Good*|*Limited Partnership - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*1179 N. CUYAMACA ST*|*STE E*|*EL CAJON*|*CA*|*United States*|*92020*|*1179 N. CUYAMACA ST*|*STE E*|**|*EL CAJON*|*CA*|*United States*|*92020*|**|**|**|**|**|**|**|*
A&S STRUCTURAL FORCE CO.*|*B20250149943*|*06/09/2025*|*CALIFORNIA*|*Active*|*Good*|*Stock Corporation - CA - General*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*36075 HALEY ST*|**|*NEWARK*|*CA*|*United States*|*94560*|*2382 AMERICAN AVE*|**|**|*HAYWARD*|*CA*|*United States*|*94545*|**|**|**|**|**|**|**|*
ABBA Trading LLC*|*B20250141706*|*06/11/2025*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*60 BASIL CROSSING*|**|*CRANSTON*|*RI*|*United States*|*02921*|*60 BASIL CROSSING*|**|**|*CRANSTON*|*RI*|*United States*|*02921*|**|**|**|**|**|**|*More Than One Manager*|*
AHMED INC*|*B20250137049*|*06/09/2025*|*CALIFORNIA*|*Active*|*Good*|*Stock Corporation - CA - Professional*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*8566 ALISSA WAY*|**|*ELK GROVE*|*CA*|*United States*|*95624*|*8566 ALISSA WAY*|**|**|*ELK GROVE*|*CA*|*United States*|*95624*|**|**|**|**|**|**|**|*
