ENTITY_NAME*|*ENTITY_NUM*|*INITIAL_FILING_DATE*|*JURISDICTION*|*ENTITY_STATUS*|*STANDING_SOS*|*ENTITY_TYPE*|*FILING_TYPE*|*FOREIGN_NAME*|*STANDING_FTB*|*STANDING_VCFCF*|*STANDING_AGENT*|*SUSPENSION_DATE*|*LAST_SI_FILE_NUMBER*|*LAST_SI_FILE_DATE*|*PRINCIPAL_ADDRESS*|*PRINCIPAL_ADDRESS2*|*PRINCIPAL_CITY*|*PRINCIPAL_STATE*|*PRINCIPAL_COUNTRY*|*PRINCIPAL_POSTAL_CODE*|*MAILING_ADDRESS*|*MAILING_ADDRESS2*|*MAILING_ADDRESS3*|*MAILING_CITY*|*MAILING_STATE*|*MAILING_COUNTRY*|*MAILING_POSTAL_CODE*|*PRINCIPAL_ADDRESS_IN_CA*|*PRINCIPAL_ADDRESS2_IN_CA*|*PRINCIPAL_CITY_IN_CA*|*PRINCIPAL_STATE_IN_CA*|*PRINCIPAL_COUNTRY_IN_CA*|*PRINCIPAL_POSTAL_CODE_IN_CA*|*LLC_MANAGEMENT_STRUCTURE*|*TYPE_OF_BUSINESS
AZ MARKETING LLC*|*B20250011084*|*06/23/2025*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*32 FIRETHORN WAY*|**|*WATSONVILLE*|*CA*|*United States*|*95076*|*5050 JIMMY CARTER BLVD SUITE 250*|**|**|*NORCROSS*|*GA*|*United States*|*30093*|**|**|**|**|**|**|*One Manager*|*
Level Play Foundation*|*B20250048162*|*06/25/2025*|*CALIFORNIA*|*Active*|*Good*|*Nonprofit Corporation - CA - Public Benefit*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*17418 CHATSWORTH STREET*|*201*|*GRANADA HILLS*|*CA*|*United States*|*91344*|*17418 CHATSWORTH STREET*|*201*|**|*GRANADA HILLS*|*CA*|*United States*|*91344*|**|**|**|**|**|**|**|*
SOULFULL*|*B20250012773*|*06/26/2025*|*CALIFORNIA*|*Active*|*Good*|*Nonprofit Corporation - CA - Public Benefit*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*2807 FENTON PKWY*|*SUITE 107 #786*|*SAN DIEGO*|*CA*|*United States*|*92108*|*2807 FENTON PKWY*|*SUITE 107 #786*|**|*SAN DIEGO*|*CA*|*United States*|*92108*|**|**|**|**|**|**|**|*
THE ANTONIO AVENUE COMMUNITY PRO]ECT "INC"*|*B20250015495*|*06/25/2025*|*CALIFORNIA*|*Active*|*Good*|*Nonprofit Corporation - CA - Public Benefit*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*99 ANTONIO AVENUE*|**|*BECKLEY*|*WV*|*United States*|*25801*|*99 ANTONIO AVENUE*|**|**|*BECKLEY*|*WV*|*United States*|*25801*|**|**|**|**|**|**|**|*
Thurman Property Services LLC*|*B20250028728*|*06/24/2025*|*FLORIDA*|*Active*|*Good*|*Limited Liability Company - Out of State*|*Foreign*|**|*Good*|*Good*|*Good*|**|*BA20251353883*|*Jun 25 2025 10:39AM*|*623 ALVARADO STREET*|**|*REDLANDS*|*CA*|*United States*|*92373*|*623 ALVARADO STREET*|**|**|*REDLANDS*|*CA*|*United States*|*92373*|*623 ALVARADO STREET*|**|*REDLANDS*|*CA*|*United States*|*92373*|**|*Construction
8 Luxe Team LLC*|*B20250073405*|*06/24/2025*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*106 TOYON AVE*|**|*SOUTH SAN FRANCISCO*|*CA*|*United States*|*94080*|*106 TOYON AVE*|**|**|*SOUTH SAN FRANCISCO*|*CA*|*United States*|*94080*|**|**|**|**|**|**|*One Manager*|*
Adamantium Ink*|*B20250145141*|*06/25/2025*|*ARIZONA*|*Active*|*Good*|*Stock Corporation - Out of State - Stock*|*Foreign*|*Adamantium Ink P.A.*|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*16075 N CERRO ALTO DR*|**|*FOUNTAIN HILLS*|*AZ*|*United States*|*85268*|*20820 N 25TH PL*|*102*|**|*PHOENIX*|*AZ*|*United States*|*85050*|**|**|**|**|**|**|**|*
Algorithm Avionics, LLC*|*B20250089723*|*06/30/2025*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*1741 DALE RUPERT RD.*|**|*CRESCENT CITY*|*CA*|*United States*|*95531*|*1465 AMADOR ST.*|**|**|*CRESCENT CITY*|*CA*|*United States*|*95531*|**|**|**|**|**|**|*One Manager*|*
AMERICAN DREAM ELECTRIC, INC.*|*B20250120877*|*06/23/2025*|*CALIFORNIA*|*Active*|*Good*|*Stock Corporation - CA - General*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*1050 EAST HARDING STREET*|*12*|*LONG BEACH*|*CA*|*United States*|*90805*|*1050 EAST HARDING STREET*|*12*|**|*LONG BEACH*|*CA*|*United States*|*90805*|**|**|**|**|**|**|**|*
Archwood Real Estate LLC*|*B20250146285*|*06/25/2025*|*DELAWARE*|*Active*|*Good*|*Limited Liability Company - Out of State*|*Foreign*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*16217 KITTRIDGE ST*|**|*VAN NUYS*|*CA*|*United States*|*91406*|*16217 KITTRIDGE ST*|**|**|*VAN NUYS*|*CA*|*United States*|*91406*|**|**|**|**|**|**|**|*
