ENTITY_NAME*|*ENTITY_NUM*|*INITIAL_FILING_DATE*|*JURISDICTION*|*ENTITY_STATUS*|*STANDING_SOS*|*ENTITY_TYPE*|*FILING_TYPE*|*FOREIGN_NAME*|*STANDING_FTB*|*STANDING_VCFCF*|*STANDING_AGENT*|*SUSPENSION_DATE*|*LAST_SI_FILE_NUMBER*|*LAST_SI_FILE_DATE*|*PRINCIPAL_ADDRESS*|*PRINCIPAL_ADDRESS2*|*PRINCIPAL_CITY*|*PRINCIPAL_STATE*|*PRINCIPAL_COUNTRY*|*PRINCIPAL_POSTAL_CODE*|*MAILING_ADDRESS*|*MAILING_ADDRESS2*|*MAILING_ADDRESS3*|*MAILING_CITY*|*MAILING_STATE*|*MAILING_COUNTRY*|*MAILING_POSTAL_CODE*|*PRINCIPAL_ADDRESS_IN_CA*|*PRINCIPAL_ADDRESS2_IN_CA*|*PRINCIPAL_CITY_IN_CA*|*PRINCIPAL_STATE_IN_CA*|*PRINCIPAL_COUNTRY_IN_CA*|*PRINCIPAL_POSTAL_CODE_IN_CA*|*LLC_MANAGEMENT_STRUCTURE*|*TYPE_OF_BUSINESS
JG Managing Group LLC*|*202356514912*|*06/17/2025*|*CALIFORNIA*|*Terminated*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|*2025-06-18 14:09:56.517*|**|*Jan  1 1900 12:00AM*|*500 E STREET*|**|*MODESTO*|*CA*|*United States*|*95357*|*500 E STREET*|**|**|*MODESTO*|*CA*|*United States*|*95357*|**|**|**|**|**|**|*One Manager*|*
B & E Interprises LP*|*202463903965*|*06/18/2025*|*CALIFORNIA*|*Active*|*Good*|*Limited Partnership - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*701 PIERCE ST*|**|*TAFT*|*CA*|*United States*|*93268*|*701 PIERCE ST*|**|**|*TAFT*|*CA*|*United States*|*93268*|**|**|**|**|**|**|**|*
KOSMIKMELT LLC*|*B20250040446*|*06/20/2025*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*2316 E BURNSIDE ST*|**|*SIMI VALLEY*|*CA*|*United States*|*93065*|*2316 E BURNSIDE ST*|**|**|*SIMI VALLEY*|*CA*|*United States*|*93065*|**|**|**|**|**|**|*One Manager*|*
12 Rivers LLC*|*B20250139753*|*06/17/2025*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*1401 21ST ST*|*STE R*|*SACRAMENTO*|*CA*|*United States*|*95811*|*1401 21ST ST*|*STE R*|**|*SACRAMENTO*|*CA*|*United States*|*95811*|**|**|**|**|**|**|*All LLC Member(s)*|*
AJS PEST CONTROL LLC*|*B20250121410*|*06/17/2025*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*1308 PLUM AVE*|**|*LOMPOC*|*CA*|*United States*|*93436*|*PO BOX 152*|**|**|*LOMPOC*|*CA*|*United States*|*93438*|**|**|**|**|**|**|*All LLC Member(s)*|*
ALPINE TRADING COMPANY LLC*|*B20250143398*|*06/19/2025*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*11263 W TELEGRAPH RD*|**|*SANTA PAULA*|*CA*|*United States*|*93060*|*11263 W TELEGRAPH RD*|**|**|*SANTA PAULA*|*CA*|*United States*|*93060-9750*|**|**|**|**|**|**|*One Manager*|*
AltaHub Inc.*|*B20250148410*|*06/16/2025*|*DELAWARE*|*Active*|*Good*|*Stock Corporation - Out of State - Stock*|*Foreign*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*655 N CENTRAL AVE*|*FLOOR 1700 SUITE 1748*|*GLENDALE*|*CA*|*United States*|*91203*|*PO BOX 949*|**|**|*GLENDALE*|*CA*|*United States*|*91209*|*655 N CENTRAL AVE*|*FLOOR 1700 SUITE 1748*|*GLENDALE*|*CA*|*United States*|*91203*|**|*
AMPLIOST, LLC*|*B20250100150*|*06/18/2025*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|*BA20251306366*|*Jun 18 2025  7:56AM*|*7770 REGENTS RD #113-227*|**|*SAN DIEGO*|*CA*|*United States*|*92122*|*7770 REGENTS RD #113-227*|**|**|*SAN DIEGO*|*CA*|*United States*|*92122*|*7770 REGENTS RD #113-227*|**|*SAN DIEGO*|*CA*|*United States*|*92122*|*All LLC Member(s)*|*EDUCATION
Andrea's Refined Esthetics*|*B20250149642*|*06/17/2025*|*CALIFORNIA*|*Active*|*Good*|*Stock Corporation - CA - General*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*412 HUMBOLDT STREET*|*A*|*SANTA ROSA*|*CA*|*United States*|*95404*|*P.O. BOX 1447*|**|**|*BOYES HOT SPRINGS*|*CA*|*United States*|*95416*|**|**|**|**|**|**|**|*
Aseel Collective*|*B20250138599*|*06/19/2025*|*CALIFORNIA*|*Active*|*Good*|*Nonprofit Corporation - CA - Public Benefit*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*4010 CRESCENT POINT ROAD*|**|*CARLSBAD*|*CA*|*United States*|*92008*|*4010 CRESCENT POINT ROAD*|**|**|*CARLSBAD*|*CA*|*United States*|*92008*|**|**|**|**|**|**|**|*
